OrderDate,Region,Rep,Item,Units,Unit,Cost,Total
06/3/2020,Central,Morgan,Pen Set,35,12.49,437.15000000000003
05/10/2020,West,Parent,Desk,101,125,12625
07/12/2021,West,Jardine,Pencil,63,0.99,62.37
06/26/2021,Central,Jones,Pencil,59,0.99,58.41
06/14/2020,East,Jardine,Pen,174,1.99,346.26
11/17/2021,West,Jardine,Binder,49,4.99,244.51000000000002
10/7/2021,Central,Kivell,Desk,219,125,27375
03/26/2021,West,Kivell,Desk,157,125,19625
06/5/2020,East,Morgan,Desk,80,125,10000
09/25/2020,West,Thompson,Binder,151,4.99,753.49
08/17/2020,East,Thompson,Desk,75,125,9375
10/18/2021,East,Jones,Binder,182,4.99,908.1800000000001
12/10/2021,West,Gill,Pen,105,1.99,208.95
10/11/2020,West,Gill,Pencil,217,0.99,214.82999999999998
12/7/2021,West,Smith,Pen,44,1.99,87.56
03/23/2020,East,Smith,Pen,35,1.99,69.65
07/20/2021,West,Jardine,Desk,41,125,5125
09/21/2021,East,Smith,Pen,123,1.99,244.77
03/11/2020,Central,Andrews,Pen,113,1.99,224.87
01/15/2020,West,Kivell,Pencil,166,0.99,164.34
10/25/2021,Central,Parent,Binder,253,4.99,1262.47
06/9/2020,East,Andrews,Pen,143,1.99,284.57
11/9/2020,West,Howard,Pencil,52,0.99,51.48
08/22/2020,Central,Thompson,Desk,117,125,14625
01/6/2021,Central,Thompson,Pencil,273,0.99,270.27
01/29/2020,East,Jones,Pencil,45,0.99,44.55
12/5/2020,Central,Kivell,Desk,276,125,34500
08/9/2021,West,Howard,Pen,176,1.99,350.24
01/29/2021,East,Thompson,Pen Set,139,12.49,1736.1100000000001
03/25/2020,East,Parent,Desk,233,125,29125
12/11/2021,Central,Gill,Desk,42,125,5250
02/19/2021,West,Jones,Desk,39,125,4875
04/1/2020,East,Andrews,Pen Set,200,12.49,2498.0
03/3/2021,East,Howard,Binder,42,4.99,209.58
08/14/2021,West,Gill,Pencil,31,0.99,30.69
06/1/2020,East,Kivell,Pen Set,153,12.49,1910.97
11/13/2021,West,Sorvino,Pencil,267,0.99,264.33
04/9/2020,West,Andrews,Pencil,218,0.99,215.82
12/19/2020,Central,Smith,Pencil,122,0.99,120.78
09/26/2020,East,Gill,Binder,194,4.99,968.0600000000001
01/24/2020,East,Kivell,Binder,142,4.99,708.58
12/12/2021,West,Howard,Pen Set,272,12.49,3397.28
06/24/2020,West,Sorvino,Pen,211,1.99,419.89
08/24/2021,East,Jones,Pen,171,1.99,340.29
11/19/2021,West,Smith,Pencil,151,0.99,149.49
12/29/2020,Central,Jardine,Pen Set,191,12.49,2385.59
09/23/2021,West,Morgan,Pen Set,46,12.49,574.54
05/8/2021,Central,Howard,Desk,293,125,36625
06/30/2020,West,Jones,Pen Set,126,12.49,1573.74
12/2/2020,Central,Jones,Pencil,187,0.99,185.13
04/29/2020,East,Andrews,Desk,210,125,26250
06/10/2021,Central,Thompson,Binder,225,4.99,1122.75
05/28/2020,Central,Thompson,Pen,14,1.99,27.86
05/6/2021,West,Parent,Binder,120,4.99,598.8000000000001
05/9/2020,East,Howard,Desk,66,125,8250
03/10/2020,West,Gill,Desk,127,125,15875
01/26/2020,Central,Morgan,Pen,195,1.99,388.05
06/26/2020,Central,Thompson,Desk,261,125,32625
02/11/2020,West,Sorvino,Binder,168,4.99,838.32
03/13/2021,East,Thompson,Pencil,282,0.99,279.18
03/12/2021,East,Sorvino,Binder,34,4.99,169.66
09/20/2020,East,Parent,Pen,276,1.99,549.24
01/18/2021,Central,Howard,Desk,132,125,16500
01/12/2020,Central,Smith,Pen,293,1.99,583.07
04/7/2021,East,Sorvino,Pen,144,1.99,286.56
02/13/2020,Central,Gill,Pencil,99,0.99,98.01
12/18/2020,West,Morgan,Pen,247,1.99,491.53
03/21/2021,West,Howard,Pen Set,112,12.49,1398.88
12/5/2021,Central,Howard,Pen Set,195,12.49,2435.55
05/15/2020,West,Morgan,Pen,247,1.99,491.53
01/23/2020,West,Andrews,Desk,248,125,31000
06/18/2021,Central,Gill,Pen Set,11,12.49,137.39000000000001
11/13/2020,West,Sorvino,Pen,272,1.99,541.28
11/12/2021,Central,Parent,Pen,131,1.99,260.69
06/14/2021,West,Jones,Pencil,227,0.99,224.73
09/29/2020,Central,Morgan,Pen Set,97,12.49,1211.53
04/13/2020,West,Thompson,Binder,196,4.99,978.0400000000001
02/6/2021,West,Morgan,Pencil,212,0.99,209.88
05/19/2021,West,Jones,Pen Set,31,12.49,387.19
05/27/2020,West,Jones,Desk,130,125,16250
04/19/2021,Central,Parent,Binder,210,4.99,1047.9
09/10/2020,West,Smith,Pencil,147,0.99,145.53
07/10/2020,Central,Jardine,Pencil,77,0.99,76.23
06/30/2021,East,Smith,Pencil,176,0.99,174.24
07/21/2020,East,Parent,Pen,281,1.99,559.1899999999999
01/24/2020,East,Parent,Pencil,58,0.99,57.42
07/24/2020,Central,Jones,Binder,25,4.99,124.75
01/1/2021,Central,Gill,Binder,30,4.99,149.70000000000002
01/13/2021,East,Sorvino,Binder,126,4.99,628.74
04/26/2021,West,Thompson,Pen,113,1.99,224.87
10/15/2021,West,Jones,Pen Set,296,12.49,3697.04
08/1/2020,Central,Gill,Desk,223,125,27875
01/5/2020,East,Jones,Pen,268,1.99,533.32
07/3/2020,West,Morgan,Pen,167,1.99,332.33
12/21/2020,Central,Gill,Pen Set,156,12.49,1948.44
08/1/2020,Central,Smith,Pen Set,159,12.49,1985.91
08/11/2021,Central,Morgan,Pen Set,96,12.49,1199.04
06/29/2020,Central,Jones,Desk,231,125,28875
09/27/2020,West,Morgan,Binder,277,4.99,1382.23
07/16/2021,West,Jardine,Pen,16,1.99,31.84
11/19/2020,Central,Morgan,Pencil,70,0.99,69.3
05/11/2020,Central,Morgan,Pencil,249,0.99,246.51
